tag_full_name;description;data_type;direction;algoblock_type;algoblock_address;algoblock_offset;selector_mask_nzone;modbus_address
ctp6.MZ_AI9;Расход1;FLOAT (4 bytes);Read;ИНР;0;0;;0
ctp6.P1_IN1;Давление Вход 1;FLOAT (4 bytes);Read;ИНР;0;0;;0
ctp6.MZ_AI10;Расход2;FLOAT (4 bytes);Read;ИНР;0;4;;4
ctp6.P2_IN2;Давление Вход 2;FLOAT (4 bytes);Read;ИНР;0;4;;4
ctp6.MZ_AI11;Резерв AI11;FLOAT (4 bytes);Read;ИНР;0;8;;8
ctp6.P3_OUT1;Давление Выход 1;FLOAT (4 bytes);Read;ИНР;0;8;;8
ctp6.MZ_AI12;Резерв AI12;FLOAT (4 bytes);Read;ИНР;0;12;;12
ctp6.P4_OUT2;Давление Выход 2;FLOAT (4 bytes);Read;ИНР;0;12;;12
ctp6.Tmk;Температура на MK500;FLOAT (4 bytes);Read;ИНР;0;16;;16
ctp6.MZ_DI1;Готовность НА1;BOOL (1 bit);Read;ИНР;0;20;&h01;20
ctp6.MZ_DI2;Вкл. НА1;BOOL (1 bit);Read;ИНР;0;24;&h01;24
ctp6.MZ_DI3;Готовность НА2;BOOL (1 bit);Read;ИНР;0;28;&h01;28
ctp6.MZ_DI4;Вкл. НА2;BOOL (1 bit);Read;ИНР;0;32;&h01;32
ctp6.MZ_DI5;Готовность НА3;BOOL (1 bit);Read;ИНР;0;36;&h01;36
ctp6.MZ_DI6;Вкл. НА3;BOOL (1 bit);Read;ИНР;0;40;&h01;40
ctp6.MZ_DI7;Готовность НА4;BOOL (1 bit);Read;ИНР;0;44;&h01;44
ctp6.MZ_DI8;Вкл. НА4;BOOL (1 bit);Read;ИНР;0;48;&h01;48
ctp6.P1_IN1.P(HH);Давление за текущий час;FLOAT (4 bytes);Read;ИНР;0;60;;60
ctp6.P1_IN1.P(HH-1);Давление за прошедший час;FLOAT (4 bytes);Read;ИНР;0;64;;64
ctp6.P2_IN2.P(HH);Давление за текущий час;FLOAT (4 bytes);Read;ИНР;0;68;;68
ctp6.P2_IN2.P(HH-1);Давление за прошедший час;FLOAT (4 bytes);Read;ИНР;0;72;;72
ctp6.P3_OUT1.P(HH);Давление за текущий час;FLOAT (4 bytes);Read;ИНР;0;76;;76
ctp6.P3_OUT1.P(HH-1);Давление за прошедший час;FLOAT (4 bytes);Read;ИНР;0;80;;80
ctp6.P4_OUT2.P(HH);Давление за текущий час;FLOAT (4 bytes);Read;ИНР;0;84;;84
ctp6.P4_OUT2.P(HH-1);Давление за прошедший час;FLOAT (4 bytes);Read;ИНР;0;88;;88
ctp6.MP_AI1;Давление Pвх1 коллектор MP;FLOAT (4 bytes);Read;ИНР;1;0;;256
ctp6.MP_AI2;Давление Pвх2 коллектор MP;FLOAT (4 bytes);Read;ИНР;1;4;;260
ctp6.MP_AI3;Давление Pвых1 коллектор MP;FLOAT (4 bytes);Read;ИНР;1;8;;264
ctp6.MP_AI4;Давление Pвых2 коллектор MP;FLOAT (4 bytes);Read;ИНР;1;12;;268
ctp6.MP_AI5;Давление Pвых1;FLOAT (4 bytes);Read;ИНР;1;16;;272
ctp6.MP_AI6;Давление Pвых1;FLOAT (4 bytes);Read;ИНР;1;20;;276
ctp6.MP_AI7;Температура машзал;FLOAT (4 bytes);Read;ИНР;1;24;;280
ctp6.MP_AI8;Резерв AI8;FLOAT (4 bytes);Read;ИНР;1;28;;284
ctp6.MP_DI1;Питание ПТК;BOOL (1 bit);Read;ИНР;1;32;&h01;288
ctp6.MP_DI2;АВР;BOOL (1 bit);Read;ИНР;1;36;&h01;292
ctp6.MP_DI3;Резерв;BOOL (1 bit);Read;ИНР;1;40;&h01;296
ctp6.MP_DI4;Резерв;BOOL (1 bit);Read;ИНР;1;44;&h01;300
ctp6.MP_DI5;Резерв;BOOL (1 bit);Read;ИНР;1;48;&h01;304
ctp6.MP_DI6;Резерв;BOOL (1 bit);Read;ИНР;1;52;&h01;308
ctp6.MP_DI7;Резерв;BOOL (1 bit);Read;ИНР;1;56;&h01;312
ctp6.MP_DI8;Резерв;BOOL (1 bit);Read;ИНР;1;60;&h01;316
ctp6.MP_DI9;РКФ1;BOOL (1 bit);Read;ИНР;1;64;&h01;320
ctp6.MP_DI10;РКФ2;BOOL (1 bit);Read;ИНР;1;68;&h01;324
ctp6.MP_DI11;Охрана;BOOL (1 bit);Read;ИНР;1;72;&h01;328
ctp6.MP_DI12;Пожар;BOOL (1 bit);Read;ИНР;1;76;&h01;332
ctp6.MP_DI13;Резерв;BOOL (1 bit);Read;ИНР;1;80;&h01;336
ctp6.MP_DI14;Резерв;BOOL (1 bit);Read;ИНР;1;84;&h01;340
ctp6.MP_DI15;Резерв;BOOL (1 bit);Read;ИНР;1;88;&h01;344
ctp6.MP_DI16;Резерв;BOOL (1 bit);Read;ИНР;1;92;&h01;348
ctp6.MPp_AI7;Темп машзал -40+80;FLOAT (4 bytes);Read;ИНР;1;96;;352
ctp6.N1(HH);Мото/час за текущий час;INT (4 bytes);Read;ИНР;2;0;;512
ctp6.N1(HH-1);Мото/час за прошедший час;INT (4 bytes);Read;ИНР;2;4;;516
ctp6.N1(DD);Мото/час за текущие сутки;INT (4 bytes);Read;ИНР;2;8;;520
ctp6.N1(DD-1);Мото/час за прошедшие сутки;INT (4 bytes);Read;ИНР;2;12;;524
